pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4384,3,60.932475884244376,54.493756953887996,68.1795634920635,51.925078043704474,57.175141242937855,27.510014213722705,62.149532710280376,56.12959719789843,52.1254182674433,35.80786026200873,28.16593886462882,48.03493449781659,36.21262458471761,32.86026200873363,12.924424972617743,43.83259911894273,31.222707423580786,25.54585152838428
4385,2,53.68538214197378,49.51168253183336,60.20585317460318,34.65140478668054,52.843691148775896,57.00994960589223,43.21131879543095,46.334751063297475,45.7181806915355,11.78343949044586,11.78343949044586,18.073248407643312,8.08,16.401273885350317,32.74760383386581,10.295291300877892,10.668789808917198,9.554140127388536
4386,3,53.68538214197378,49.77129435035233,59.87103174603175,34.65140478668054,55.58066541117389,57.00994960589223,33.57995846313603,43.58268701526144,43.05366216383691,23.90829694323144,22.270742358078603,32.20524017467249,16.611295681063122,31.33187772925764,37.130339539978095,12.334801762114537,16.157205240174672,16.266375545851528
4387,3,27.009646302250808,26.282606008159227,29.724702380952383,23.959417273673257,31.989956057752668,8.424861093164491,27.12876427829699,20.740555416562422,20.16358904449126,3.711790393013101,3.9301310043668125,5.567685589519651,8.859357696566999,6.877729257641921,1.642935377875137,8.81057268722467,4.148471615720524,3.056768558951965
4388,2,81.18971061093248,80.23241438991222,83.8045634920635,75.42924037460979,82.69930947897049,87.36270836025327,70.83333333333334,78.10858143607706,77.53129260131367,63.61464968152867,62.57961783439491,64.80891719745223,57.68,66.32165605095541,80.43130990415335,45.17158818834797,60.35031847133758,58.67834394904459
4389,5,23.01508780608459,22.165904314501176,25.34722222222222,9.482310093652444,23.25172630257376,45.600206745057505,10.033748701973002,15.32399299474606,21.415293097038045,44.45572189799543,42.40426071519148,48.62244897959184,18.037357122943966,44.92412349555207,73.18219518938346,19.554317548746518,29.646936656282453,40.80020387359837
4401,4,71.55577541429632,78.27914451724564,62.09077380952381,79.90374609781477,85.81293157564343,80.96653314381703,47.2871235721703,57.88091068301225,67.02193580369314,64.27238805970148,70.98880597014924,49.39309056956116,79.33333333333333,83.30223880597015,64.52830188679245,29.383886255924168,37.47663551401869,51.865671641791046
4411,5,48.293346524857775,51.56385214488812,44.680059523809526,49.115504682622266,54.55116133082235,69.23375113063703,47.2871235721703,42.21916437327996,49.2626099888462,85.53666582085765,87.16713162566575,81.25,79.9832729300251,89.90057561486134,92.70113353607962,81.03064066852367,75.31152647975078,84.19979612640162
4413,5,50.76675735839723,55.4209420200272,45.02728174603175,51.925078043704474,63.54048964218456,66.7528104406254,27.12876427829699,43.58268701526144,47.56475399677779,88.3024613042375,90.51483641897032,81.73469387755102,82.93838862559242,95.49973835688121,91.20818357755046,50.64066852367688,77.20664589823468,81.93170234454638
4414,5,27.98664358149889,32.216590431450115,19.02281746031746,29.812695109261185,35.99497802887633,45.600206745057505,10.033748701973002,23.042281711283465,28.144751518155903,53.717330626744484,60.48693887902612,36.81122448979592,54.22358516866462,67.24228152799581,73.18219518938346,19.554317548746518,43.613707165109034,52.31906218144751
